EXPORTDAT,LAEDA,ERSDA,MATNR,MAKTG,MTART,MATKL,MEINS,CS_PAL,PAL_Anzahl,EA_Anzahl,PMU_Anzahl,ZUC_Anzahl,LAYERS_PAL,CS_LAYERS,/SCL/MIXED_PROD,/SCL/RET,Description /SCL/RET,/SCL/PKG,Description /SCL/PKG,/SCL/PSIZE,Description /SCL/PSIZE,/SCL/PTYPE,Bezeichung /SCL/PTYPE,/SCL/SLUN,Description /SCL/SLUN,/SCL/BRAND,Description /SCL/BRAND,MHDHB,MHDRZ,/SCL/RTD,/SCL/MATRTY_DUR,/SCL/SHLIFREQMAX,MFRPN,BRGEW,NTGEW,VOLUM,VOLEH,LAENG,BREIT,HOEHE,MEABM,/SCL/QUARTIME,MSTAE,/SCL/PROMI,Bezeichung /SCL/PROMI,/SCL/CATBRNDTY,Description /SCL/CATBRNDTY,/SCL/PLANNER_S,/SCL/PLANNER_S Description,/SCL/PKGGROUP,Description SCL_PKGGROUP,/SCL/STKFACTOR,STFAK,/SCL/BOARDOBJ,ALL_LOC_PRODUCTS_ND,FlTyp,SNP Planner Check,PG_Reporting,PAL,Description_PAL,Getränkeprodukt
44489,44428,42957,202822,"INNO COCO W.  8/0,5LPEW",ZFER,55121600A,PAC,100,0.01,8,1,0.7045,,,,1,EW FP:kein DPG/gr.P.,4852,500-Ml Plas Btl Nr  8-Pk 8,472,500 ML,018,Plastikflasche,231,8-Pk 8,BXR,Innocent,0,0,R,0,0,,4.464,4.072,4,L,282,140,187,MM,0,01,R,Standardartikel,,,,,9119,SUBOTHER,,,,yes,,,0,,,8353
44489,43656,42958,202823,"ADVENTSK. 30X20/0,25L DS",ZFER,55121600A,KS,2,0.5,600,25,26.418,,,Y,Y,EW FP: DPG,A3WU,250-Ml Alum Can Nr 20-Pk 600,265,250 ML,007,Aludose,F60,20-Pk 600,001,Coca-Cola,180,90,R,0,0,,183.468,0,150,L,800,600,1548,MM,0,01,P,Werbeartikel,CLOSED,Gesperrt /SKU Reduziert,,,2107,CAN025,,,,yes,,,CAN,,,0001
44489,44012,42962,202824,"Prod.MO.U.WH6x4/0,5L DS",ZFER,55121600A,KS,72,0.0139,24,2,2.1134,,,,1,EW FP:kein DPG/gr.P.,1535,500-Ml Alum Can Nr 4-Pk 24,472,500 ML,007,Aludose,151,4-Pk 24,B90,Monster-KO,720,120,R,0,0,,12.591,12.024,12,L,406,270,170,MM,0,03,CE,EXPO Export,CLOSED,Gesperrt /SKU Reduziert,,,2117,CAN050MO,1,,GRN_4,yes,,,Energy,,,A8HH
44489,44428,42962,202825,"PWR PFRUIT12/0,5LPEW NO",ZFER,55121600A,PAC,108,0.0093,12,1,1.0567,,,,1,EW FP:kein DPG/gr.P.,4081,500-Ml Plas Btl Nr  12-Pk 12,472,500 ML,018,Plastikflasche,264,12-Pk 12,047,Powerade,270,120,R,0,0,,6.68,6.095,6,L,270,202,233,MM,48,,CE,EXPO Export,EXPORT,Export/Tollfilling,303,Tollfilling,3110,HALN050EX,1,"2,00",BLU_2,no,POWERADE,,PEW N,,,6565
44489,44428,42962,202826,"PWR PFR  12/0,5LPEW SWE",ZFER,55121600A,PAC,108,0.0093,12,1,1.0567,,,,1,EW FP:kein DPG/gr.P.,4081,500-Ml Plas Btl Nr  12-Pk 12,472,500 ML,018,Plastikflasche,264,12-Pk 12,047,Powerade,270,120,R,0,0,,6.68,6.095,6,L,270,202,233,MM,48,,CE,EXPO Export,EXPORT,Export/Tollfilling,303,Tollfilling,3110,HALN050EX,1,"2,00",BLU_2,no,POWERADE,,PEW N,,,6565
44489,44428,42962,202827,"PWR PFRUIT12/0,5LPEW IS",ZFER,55121600A,PAC,108,0.0093,12,1,1.0567,,,,1,EW FP:kein DPG/gr.P.,4081,500-Ml Plas Btl Nr  12-Pk 12,472,500 ML,018,Plastikflasche,264,12-Pk 12,047,Powerade,270,120,R,0,0,,6.68,6.095,6,L,270,202,233,MM,48,,CE,EXPO Export,EXPORT,Export/Tollfilling,303,Tollfilling,3110,HALN050EX,1,"2,00",BLU_2,no,POWERADE,,PEW N,,,6565
44489,44428,42963,202828,"PWR CITRUS12/0,5LPEW IS",ZFER,55121600A,PAC,108,0.0093,12,1,1.0567,,,,1,EW FP:kein DPG/gr.P.,4081,500-Ml Plas Btl Nr  12-Pk 12,472,500 ML,018,Plastikflasche,264,12-Pk 12,047,Powerade,360,120,R,0,0,,6.465,6.095,6,L,270,202,233,MM,48,,CE,EXPO Export,EXPORT,Export/Tollfilling,303,Tollfilling,3110,HALN050EX,1,"2,00",BLU_2,no,POWERADE,,PEW N,,,5800
44489,43733,42964,202837,CC CHERRY   4x6/033L PEW,ZFER,55121600A,KS,70,0.0143,24,1,1.3949,,,,Y,EW FP: DPG,7208,330-Ml Plas Btl Nr Cntr 6-Pk 24,350,330 ML,018,Plastikflasche,184,6-Pk 24,001,Coca-Cola,120,90,R,0,0,,8.89,8.226,7.92,L,357,238,204,MM,0,01,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,2201,N033,1,,BLU_1,yes,,,"PEW 0,33",,,0216
44489,44012,42964,202829,"Prod.MO.ENER 24/0,5LACDS",ZFER,55121600A,KS,72,0.0139,24,2,2.1134,,,,1,EW FP:kein DPG/gr.P.,0461,500-Ml Alum Can Nr 1-Ls 24,472,500 ML,007,Aludose,023,1-Ls 24,B90,Monster-KO,0,0,R,0,0,,13.101,12.576,12,L,406,270,170,MM,0,03,CE,EXPO Export,CLOSED,Gesperrt /SKU Reduziert,,,2117,CAN050MO,1,,GRN_4,yes,,,Energy,,,A497
44489,44012,42964,202830,"Prod.MO.ENER 12/0,5LACDS",ZFER,55121600A,PAC,120,0.0083,12,1,1.0567,,,,1,EW FP:kein DPG/gr.P.,7608,500-Ml Alum Can Nr 12-Pk 12,472,500 ML,007,Aludose,264,12-Pk 12,B90,Monster-KO,0,0,R,0,0,,6.561,6.288,6,L,274,204,170,MM,0,03,CE,EXPO Export,CLOSED,Gesperrt /SKU Reduziert,,,2117,CAN050MO,1,,GRN_4,yes,,,Energy,,,A497
44489,44012,42964,202831,"Prod.MO.ENE 6x4/0,5LACDS",ZFER,55121600A,KS,72,0.0139,24,2,2.1134,,,,1,EW FP:kein DPG/gr.P.,1535,500-Ml Alum Can Nr 4-Pk 24,472,500 ML,007,Aludose,151,4-Pk 24,B90,Monster-KO,0,0,R,0,0,,13.143,12.576,12,L,406,270,170,MM,0,03,CE,EXPO Export,CLOSED,Gesperrt /SKU Reduziert,,,2117,CAN050MO,1,,GRN_4,yes,,,Energy,,,A497
44489,44012,42964,202832,"Prod.MO.ZER  12/0,5LACDS",ZFER,55121600A,PAC,120,0.0083,12,1,1.0567,,,,1,EW FP:kein DPG/gr.P.,7608,500-Ml Alum Can Nr 12-Pk 12,472,500 ML,007,Aludose,264,12-Pk 12,B90,Monster-KO,0,0,R,0,0,,6.285,6.012,6,L,274,204,170,MM,0,03,CE,EXPO Export,CLOSED,Gesperrt /SKU Reduziert,,,2117,CAN050MO,1,,GRN_4,yes,,,Energy,,,A6I0
44489,44330,42964,202836,MXMM/S/CH30X4X6/033L PEW,ZFER,55121600A,KS,2,0.5,720,30,41.846,,,Y,Y,EW FP: DPG,7661,330-Ml Plas Btl Nr  6-Pk 720,350,330 ML,018,Plastikflasche,216,6-Pk 720,B1X,Mezzo Mix,120,90,R,0,0,,266.95,246.776,237.6,L,800,600,1385,MM,0,01,P,Werbeartikel,CLOSED,Gesperrt /SKU Reduziert,,,2201,N033,1,,BLU_1,yes,,,"PEW 0,33",,,1484
44489,44336,42964,202835,INNO ENERGISE 8/036L PEW,ZFER,55121600A,PAC,180,0.0056,8,1,0.5072,6,30,,1,EW FP:kein DPG/gr.P.,A3XH,360-Ml Plas Btl Nr 8-Pk 8,380,360 ML,018,Plastikflasche,231,8-Pk 8,BXR,Innocent,0,0,R,0,0,,3.28,3.059,2.88,L,232,117,175,MM,0,,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,9119,SUBOTHER,,,,yes,W/O SHAPE,,0,356,EUROPALETTE 120X80,8175
44489,44428,42964,202833,INNO TROP/PROT8/036L PEW,ZFER,55121600A,PAC,180,0.0056,8,1,0.5072,,,,1,EW FP:kein DPG/gr.P.,A3XH,360-Ml Plas Btl Nr 8-Pk 8,380,360 ML,018,Plastikflasche,231,8-Pk 8,BXR,Innocent,0,0,R,0,0,,3.28,3.059,2.88,L,232,117,175,MM,0,01,R,Standardartikel,,,,,9119,SUBOTHER,,,,yes,,,0,,,8185
44489,44428,42964,202834,INNO GREEN S. 8/025L PEW,ZFER,55121600A,PAC,280,0.0036,8,1,0.3522,,,,1,EW FP:kein DPG/gr.P.,A30P,250-Ml Plas Btl Nr 8-Pk 8,265,250 ML,018,Plastikflasche,231,8-Pk 8,BXR,Innocent,0,0,R,0,0,,2.31,2.165,2,L,226,114,160,MM,0,01,R,Standardartikel,,,,,9119,SUBOTHER,,,,yes,,,0,,,8183
44489,44404,42972,202838,"VIO 4X10X6/1,5L PEW DD",ZFER,55121600A,KS,2,0.5,240,40,63.403,,,,Y,EW FP: DPG,6261,1.5-Ltr Plas Btl Nr  6-Pk 240,041,1.5 LTR,018,Plastikflasche,197,6-Pk 240,B40,ViO,360,120,R,0,0,,369.1,360,360,L,800,620,1516,MM,48,01,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,7104,VION150,1,,GRY_2,yes,,,VIO PET,,,A3MQ
44489,44489,42990,202839,"FUZE TEA P/H  6/1,0L PEW",ZFER,55121600A,PAC,125,0.008,6,1,1.0567,5,25,,Y,EW FP: DPG,3210,1-Ltr Plas Btl Nr  6-Pk 6,007,1 LTR,018,Plastikflasche,181,6-Pk 6,CHA,FUZE TEA-KO,360,120,R,0,0,,6.323,6.091,6,L,244,163,279,MM,264,,R,Standardartikel,PROMOA,Promoartikel aktiv,320,Fuze,3111,HALN100,1,"2,00",GRY_2,no,FUZE,,PEW N,356,EUROPALETTE 120X80,ABGL
44489,44489,42990,202840,"FUZE T GT/M/C 6/1,0L PEW",ZFER,55121600A,PAC,125,0.008,6,1,1.0567,5,25,,Y,EW FP: DPG,3210,1-Ltr Plas Btl Nr  6-Pk 6,007,1 LTR,018,Plastikflasche,181,6-Pk 6,CHA,FUZE TEA-KO,210,90,R,0,0,,6.323,6.091,6,L,244,163,279,MM,264,,R,Standardartikel,PROMOA,Promoartikel aktiv,320,Fuze,3111,HALN100,1,"2,00",GRY_2,no,FUZE,,PEW N,356,EUROPALETTE 120X80,A900
44489,44489,42990,202841,"FUZE TEA LEMON6/1,0LPEW",ZFER,55121600A,PAC,125,0.008,6,1,1.0567,5,25,,Y,EW FP: DPG,3210,1-Ltr Plas Btl Nr  6-Pk 6,007,1 LTR,018,Plastikflasche,181,6-Pk 6,CHA,FUZE TEA-KO,360,120,R,0,0,,6.39,6.159,6,L,244,163,279,MM,264,,R,Standardartikel,PROMOA,Promoartikel aktiv,320,Fuze,3111,HALN100,1,"2,00",GRY_2,no,FUZE,,PEW N,356,EUROPALETTE 120X80,A76H
44489,44489,42990,202842,"FUZE TEA PEACH6/1,0LPEW",ZFER,55121600A,PAC,125,0.008,6,1,1.0567,5,25,,Y,EW FP: DPG,3210,1-Ltr Plas Btl Nr  6-Pk 6,007,1 LTR,018,Plastikflasche,181,6-Pk 6,CHA,FUZE TEA-KO,360,120,R,0,0,,6.39,6.159,6,L,244,163,279,MM,264,,R,Standardartikel,PROMOA,Promoartikel aktiv,320,Fuze,3111,HALN100,1,"2,00",GRY_2,no,FUZE,,PEW N,356,EUROPALETTE 120X80,A744
44489,44489,42991,202843,"FUZE TEA P/H 12/0,4L PEW",ZFER,55121600A,PAC,133,0.0075,12,1,0.8454,7,19,,Y,EW FP: DPG,5748,400-Ml Plas Btl Nr 12-Pk 12,412,400 ML,018,Plastikflasche,264,12-Pk 12,CHA,FUZE TEA-KO,360,120,R,0,0,,5.191,4.873,4.8,L,254,191,196,MM,264,,R,Standardartikel,PROMOA,Promoartikel aktiv,320,Fuze,3118,HALN040,1,"2,00",GRY_2,no,FUZE,,PEW N,356,EUROPALETTE 120X80,ABGL
